Date,Publication,Country,Country2,Country3,Topic,Headline,Link
2026-05-15,Guardian,DRC,,,Epidemic,Ebola outbreak kills 65 people in eastern Democratic Republic of the Congo,https://www.theguardian.com/global-development/2026/may/15/ebola-outbreak-drc-africa-deaths
2026-05-17,Guardian,DRC,Uganda,,Epidemic,WHO says Ebola outbreak in DRC and Uganda is 'emergency' of international concern,https://www.theguardian.com/world/2026/may/17/who-ebola-outbreak-congo-uganda-global-health-emergency
2026-05-17,Guardian,Africa,,,Epidemic,Africa CDC chief says he is in 'panic mode' over Ebola outbreak - video,https://www.theguardian.com/world/video/2026/may/17/africa-cdc-chief-panic-mode-ebola-outbreak-video
2026-05-17,Guardian,None,,,Ebola virus,What is Ebola and why is WHO treating outbreak as global health emergency?,https://www.theguardian.com/world/2026/may/17/what-is-ebola-why-who-says-drc-uganda-outbreak-global-health-emergency
2026-05-18,Guardian,None,,,Pandemic preparedness,"Infectious diseases such as hantavirus and Ebola becoming more frequent and damaging, say experts",https://www.theguardian.com/global-development/2026/may/18/infectious-diseases-hantavirus-ebola-more-frequent-damaging-pandemic-outbreak
2026-05-18,Guardian,DRC,,,Epidemic,It's heartbreaking': panic in eastern DRC over return of Ebola,https://www.theguardian.com/world/2026/may/18/ituri-eastern-drc-ebola-outbreak-panic-fear
2026-05-18,Guardian,USA,,,Repatriation/Importation,US says American contracted Ebola in Congo as CDC announces new travel screening measures,https://www.theguardian.com/us-news/2026/may/18/us-ebola-virus-congo-uganda
2026-05-18,Guardian,None,,,Ebola virus,Ebola: how does it spread and can the outbreak be contained? - podcast,https://www.theguardian.com/science/audio/2026/may/18/ebola-outbreak-what-do-we-know-and-can-it-be-contained-podcast
2026-05-19,Guardian,None,,,Epidemic,"As WHO sounds alarm over Ebola in DRC, what can be learned from previous outbreaks?",https://www.theguardian.com/world/2026/may/19/why-the-lessons-of-the-drcs-last-ebola-outbreak-are-being-tested-again
2026-05-19,Guardian,DRC,,,Epidemic,"Ebola in the DRC needs the world's attention now - if your neighbour's house is on fire, you don't wait and watch",https://www.theguardian.com/commentisfree/2026/may/19/ebola-drc-needs-worlds-attention-rare-strain-congo-dangerous
2026-05-19,Guardian,None,,,Pandemic preparedness,"Ebola, hantavirus: can the world avert another pandemic? - Full Story podcast",https://www.theguardian.com/australia-news/audio/2026/may/20/ebola-hantavirus-another-pandemic-full-story-podcast
2026-05-19,Guardian,DRC,,,Therapeutics/diagnostics,WHO considers use of experimental vaccines as Ebola cases and deaths rise in DRC,https://www.theguardian.com/world/2026/may/19/ebola-outbreak-drc-who-tedros-adhanom-ghebreyesus-deeply-concerned
2026-05-19,Guardian,USA,,,Funding/aid,Rubio criticizes WHO's Ebola response as US continues sweeping public health cuts,https://www.theguardian.com/us-news/2026/may/19/marco-rubio-who-ebola
2026-05-20,Guardian,None,,,Therapeutics/diagnostics,"Vaccine to tackle Ebola outbreak will take six to nine months, says WHO",https://www.theguardian.com/world/2026/may/20/vaccine-bundibugyo-ebola-outbreak-six-to-nine-months-who
2026-05-20,Guardian,Germany,USA,,Repatriation/Importation,US doctor who contracted Ebola in DRC flown to Germany for treatment,https://www.theguardian.com/world/2026/may/20/ebola-outbreak-us-doctor-germany
2026-05-20,Guardian,None,,,Funding/aid,The Guardian view on tackling Ebola: pathogens aren't the only things that kill,https://www.theguardian.com/commentisfree/2026/may/20/the-guardian-view-on-tackling-ebola-pathogens-arent-the-only-things-that-kill
2026-05-20,Guardian,DRC,,,World cup,DRC cancel World Cup training camp and fan event due to Ebola outbreak,https://www.theguardian.com/football/2026/may/20/drc-cancel-world-cup-training-camp-ebola-outbreak
2026-05-21,Guardian,None,,,Pandemic preparedness,"Hard hats, AI and a fake pandemic: the group of former world leaders practising to save the world",https://www.theguardian.com/global-development/2026/may/21/pandemic-group-of-former-world-leaders-elders-practising-health-emergency-planning
2026-05-21,Guardian,USA,,,Funding/aid,"US is 'simply choosing not to stop' Ebola outbreak after massive public health cuts, experts say",https://www.theguardian.com/world/2026/may/21/ebola-outbreak-public-health
